alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.99,10,cosine,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,74.451064
0.99,10,cosine,scott,50,0.75,51,86,4,30,0.8764066437022411,0.37037037037037035,0.044444444444444446,72.621764
0.99,10,cosine,scott,80,0.8663101604278075,81,65,25,0,0.9191148731367202,0.0,0.2777777777777778,74.142645
0.99,10,cosine,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,73.338018
0.99,10,cosine,silverman,50,0.7943262411347518,56,86,4,25,0.9005926456118027,0.30864197530864196,0.044444444444444446,72.780031
0.99,10,cosine,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,73.227619
0.99,10,cosine,silverman,100,0.9,81,72,18,0,0.9404040404040404,0.0,0.2,72.585887
0.99,10,epanechnikov,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.629119
0.99,10,epanechnikov,variance,80,0.8904109589041096,65,90,0,16,0.952001846082843,0.19753086419753085,0.0,71.082487
0.99,10,epanechnikov,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,72.431127
0.99,10,epanechnikov,scott,50,0.8888888888888888,68,86,4,13,0.9255931920098813,0.16049382716049382,0.044444444444444446,69.593117
0.99,10,epanechnikov,scott,80,0.8205128205128205,64,79,11,17,0.9080137797730391,0.20987654320987653,0.12222222222222222,71.714674
0.99,10,epanechnikov,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,72.778569
0.99,10,epanechnikov,silverman,50,0.75,51,86,4,30,0.8800914713815569,0.37037037037037035,0.044444444444444446,73.400374
0.99,10,epanechnikov,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,71.555133
0.99,10,epanechnikov,silverman,100,0.9152542372881356,81,75,15,0,0.9550792890591742,0.0,0.16666666666666666,70.530154
0.9,11,gaussian,variance,50,0.9454545454545454,78,84,6,3,0.972738946130759,0.037037037037037035,0.06666666666666667,65.187569
0.9,11,gaussian,variance,80,0.84375,81,60,30,0,0.7530864197530864,0.0,0.3333333333333333,75.792577
0.9,11,gaussian,variance,100,0.84375,81,60,30,0,0.7530864197530864,0.0,0.3333333333333333,76.737931
0.9,11,gaussian,scott,50,0.8344370860927153,63,83,7,18,0.8773176630966708,0.2222222222222222,0.07777777777777778,61.126907
0.9,11,gaussian,scott,80,0.9375,75,86,4,6,0.9466345023549687,0.07407407407407407,0.044444444444444446,62.202041
0.9,11,gaussian,scott,100,0.9308176100628931,74,86,4,7,0.9421891481162021,0.08641975308641975,0.044444444444444446,62.255804
0.9,11,gaussian,silverman,50,0.9375,75,86,4,6,0.9466345023549687,0.07407407407407407,0.044444444444444446,61.688568
0.9,11,gaussian,silverman,80,0.9240506329113924,73,86,4,8,0.9390137179967937,0.09876543209876543,0.044444444444444446,63.199683
0.9,11,gaussian,silverman,100,0.9259259259259259,75,84,6,6,0.9035687429407235,0.07407407407407407,0.06666666666666667,64.437191
0.9,11,cosine,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.730921
0.9,11,cosine,variance,80,0.875,63,90,0,18,0.9460020768431985,0.2222222222222222,0.0,73.259981
0.9,11,cosine,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,74.036234
0.9,11,cosine,scott,50,0.7943262411347518,56,86,4,25,0.8957635267907804,0.30864197530864196,0.044444444444444446,71.046572
0.9,11,cosine,scott,80,0.8756756756756757,81,67,23,0,0.9215490304199981,0.0,0.25555555555555554,71.164262
0.9,11,cosine,scott,100,0.8756756756756757,81,67,23,0,0.9203732514664414,0.0,0.25555555555555554,74.576359
0.9,11,cosine,silverman,50,0.7943262411347518,56,86,4,25,0.8989210661624454,0.30864197530864196,0.044444444444444446,74.174193
0.9,11,cosine,silverman,80,0.9152542372881356,81,75,15,0,0.954653575989783,0.0,0.16666666666666666,72.099886
0.9,11,cosine,silverman,100,0.9152542372881356,81,75,15,0,0.9512909793547049,0.0,0.16666666666666666,74.030045
0.9,11,epanechnikov,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.19265
0.9,11,epanechnikov,variance,80,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.253846
0.9,11,epanechnikov,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,72.986118
0.9,11,epanechnikov,scott,50,0.7943262411347518,56,86,4,25,0.8957635267907804,0.30864197530864196,0.044444444444444446,70.130063
0.9,11,epanechnikov,scott,80,0.8756756756756757,81,67,23,0,0.9215490304199981,0.0,0.25555555555555554,70.539572
0.9,11,epanechnikov,scott,100,0.8756756756756757,81,67,23,0,0.9215490304199981,0.0,0.25555555555555554,71.406105
0.9,11,epanechnikov,silverman,50,0.7943262411347518,56,86,4,25,0.8989210661624454,0.30864197530864196,0.044444444444444446,72.119231
0.9,11,epanechnikov,silverman,80,0.9152542372881356,81,75,15,0,0.954653575989783,0.0,0.16666666666666666,70.211546
0.9,11,epanechnikov,silverman,100,0.9152542372881356,81,75,15,0,0.954653575989783,0.0,0.16666666666666666,70.467866
0.95,11,gaussian,variance,50,0.9454545454545454,78,84,6,3,0.972738946130759,0.037037037037037035,0.06666666666666667,64.207191
0.95,11,gaussian,variance,80,0.84375,81,60,30,0,0.7530864197530864,0.0,0.3333333333333333,76.677705
0.95,11,gaussian,variance,100,0.84375,81,60,30,0,0.7530864197530864,0.0,0.3333333333333333,77.6245
0.95,11,gaussian,scott,50,0.8344370860927153,63,83,7,18,0.8773176630966708,0.2222222222222222,0.07777777777777778,63.041881
0.95,11,gaussian,scott,80,0.9375,75,86,4,6,0.9466345023549687,0.07407407407407407,0.044444444444444446,62.208303
0.95,11,gaussian,scott,100,0.9102564102564102,71,86,4,10,0.9288291359896909,0.12345679012345678,0.044444444444444446,64.576414
0.95,11,gaussian,silverman,50,0.9375,75,86,4,6,0.9466345023549687,0.07407407407407407,0.044444444444444446,62.490914
0.95,11,gaussian,silverman,80,0.9032258064516129,70,86,4,11,0.9255522238372142,0.13580246913580246,0.044444444444444446,63.485858
