alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.99,10,gaussian,variance,50,0.5766961651917404,391,495,235,339,0.4642302627353799,0.4643835616438356,0.3219178082191781,576.753339
0.99,10,gaussian,variance,80,0.5729089563286455,387,496,234,343,0.44483337153535274,0.46986301369863015,0.32054794520547947,626.103592
0.99,10,gaussian,variance,100,0.5962732919254659,432,443,287,298,0.44861192489119367,0.40821917808219177,0.39315068493150684,610.863807
0.99,10,gaussian,scott,50,0.6043956043956044,440,444,286,290,0.4159946801219921,0.3972602739726027,0.3917808219178082,594.48986
0.99,10,gaussian,scott,80,0.5915697674418605,407,491,239,323,0.4071556726751949,0.44246575342465755,0.3273972602739726,547.708426
0.99,10,gaussian,scott,100,0.6107617051013278,437,466,264,293,0.46430031872136257,0.40136986301369865,0.36164383561643837,574.919433
0.99,10,gaussian,silverman,50,0.5898959881129272,397,511,219,333,0.4366180717671524,0.45616438356164385,0.3,587.634194
0.99,10,gaussian,silverman,80,0.5911401597676107,407,490,240,323,0.4360963062351808,0.44246575342465755,0.3287671232876712,562.576405
0.99,10,gaussian,silverman,100,0.6197183098591549,462,431,299,268,0.4845362969955328,0.36712328767123287,0.4095890410958904,571.412632
0.99,10,cosine,variance,50,0.5764131193300768,413,440,290,317,0.4854300782010621,0.43424657534246575,0.3972602739726027,629.743816
0.99,10,cosine,variance,80,0.5902306648575305,435,421,309,295,0.44861409216464376,0.4041095890410959,0.4232876712328767,617.891703
0.99,10,cosine,variance,100,0.5888044229440221,426,439,291,304,0.45789729207195073,0.41643835616438357,0.39863013698630134,605.470178
0.99,10,cosine,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,681.105197
0.99,10,cosine,scott,80,0.5855072463768116,404,484,246,326,0.4605923291390717,0.4465753424657534,0.336986301369863,585.443138
0.99,10,cosine,scott,100,0.565121412803532,384,485,245,346,0.478730298044686,0.473972602739726,0.3356164383561644,613.557864
0.99,10,cosine,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,692.841677
0.99,10,cosine,silverman,80,0.6016830294530154,429,463,267,301,0.4523708453347716,0.4123287671232877,0.36575342465753424,624.41991
0.99,10,cosine,silverman,100,0.6123260437375746,462,413,317,268,0.46037861501288835,0.36712328767123287,0.43424657534246575,648.900066
0.99,10,epanechnikov,variance,50,0.5879945429740792,431,425,305,299,0.48685482082278486,0.4095890410958904,0.4178082191780822,617.150381
0.99,10,epanechnikov,variance,80,0.5884831460674157,419,455,275,311,0.4627808227062531,0.426027397260274,0.3767123287671233,622.535006
0.99,10,epanechnikov,variance,100,0.592747559274756,425,451,279,305,0.4948605570986992,0.4178082191780822,0.3821917808219178,608.298699
0.99,10,epanechnikov,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,698.293916
0.99,10,epanechnikov,scott,80,0.5870503597122302,408,478,252,322,0.46072858779098347,0.4410958904109589,0.3452054794520548,583.285493
0.99,10,epanechnikov,scott,100,0.5858873841767641,411,468,262,319,0.48512257067945064,0.436986301369863,0.3589041095890411,634.067734
0.99,10,epanechnikov,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,714.333561
0.99,10,epanechnikov,silverman,80,0.6122448979591837,435,474,256,295,0.43694376720346534,0.4041095890410959,0.3506849315068493,613.132821
0.99,10,epanechnikov,silverman,100,0.6052104208416834,453,416,314,277,0.45711854195867363,0.37945205479452054,0.4301369863013699,628.884829
0.9,11,gaussian,variance,50,0.5894428152492669,402,498,232,328,0.4530685765618568,0.44931506849315067,0.3178082191780822,562.458638
0.9,11,gaussian,variance,80,0.5777777777777777,403,468,262,327,0.45656314978476614,0.44794520547945205,0.3589041095890411,576.893591
0.9,11,gaussian,variance,100,0.572463768115942,395,475,255,335,0.4562302010630353,0.4589041095890411,0.3493150684931507,579.069764
0.9,11,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,675.408315
0.9,11,gaussian,scott,80,0.5643793369313801,366,529,201,364,0.4190802153611795,0.4986301369863014,0.27534246575342464,550.083199
0.9,11,gaussian,scott,100,0.5891696750902528,408,483,247,322,0.4628088653465252,0.4410958904109589,0.33835616438356164,647.3739
0.9,11,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,676.464644
0.9,11,gaussian,silverman,80,0.5553822152886115,356,534,196,374,0.42531490725547516,0.5123287671232877,0.2684931506849315,555.550542
0.9,11,gaussian,silverman,100,0.6159368269921034,429,496,234,301,0.4278649178656568,0.4123287671232877,0.32054794520547947,558.047586
0.9,11,cosine,variance,50,0.5215311004784688,327,533,197,403,0.4486670422088447,0.552054794520548,0.26986301369863014,588.442743
0.9,11,cosine,variance,80,0.5954738330975955,421,467,263,309,0.4207741111143169,0.4232876712328767,0.36027397260273974,608.270117
0.9,11,cosine,variance,100,0.56758669497523,401,448,282,329,0.43898306354685074,0.4506849315068493,0.3863013698630137,616.004067
0.9,11,cosine,scott,50,0.5512727272727272,379,464,266,351,0.44624808334565286,0.4808219178082192,0.3643835616438356,631.500686
0.9,11,cosine,scott,80,0.5944055944055944,425,455,275,305,0.4270756905151407,0.4178082191780822,0.3767123287671233,622.463665
0.9,11,cosine,scott,100,0.5891696750902528,408,483,247,322,0.42379772499743185,0.4410958904109589,0.33835616438356164,618.339857
0.9,11,cosine,silverman,50,0.5363703159441587,365,464,266,365,0.4520329333247506,0.5,0.3643835616438356,656.34933
0.9,11,cosine,silverman,80,0.5450516986706057,369,475,255,361,0.4321533728021134,0.4945205479452055,0.3493150684931507,667.900687
0.9,11,cosine,silverman,100,0.5761092150170648,422,417,313,308,0.4256989283942961,0.42191780821917807,0.42876712328767125,663.031421
0.9,11,epanechnikov,variance,50,0.5948158253751705,436,430,300,294,0.41354459109149394,0.40273972602739727,0.410958904109589,588.398377
0.9,11,epanechnikov,variance,80,0.5691868758915835,399,457,273,331,0.4339701598067162,0.4534246575342466,0.37397260273972605,595.529202
0.9,11,epanechnikov,variance,100,0.5440844009042954,361,494,236,369,0.4419575771181698,0.5054794520547945,0.3232876712328767,597.794828
0.9,11,epanechnikov,scott,50,0.5564457392571013,382,469,261,348,0.44021455303593693,0.4767123287671233,0.35753424657534244,639.345029
0.9,11,epanechnikov,scott,80,0.5914285714285714,414,474,256,316,0.41564842262487206,0.4328767123287671,0.3506849315068493,593.931889
0.9,11,epanechnikov,scott,100,0.5904486251808972,408,486,244,322,0.4059270434421054,0.4410958904109589,0.33424657534246577,594.687505
0.9,11,epanechnikov,silverman,50,0.5015673981191222,320,504,226,410,0.43724814790587574,0.5616438356164384,0.3095890410958904,646.999705
0.9,11,epanechnikov,silverman,80,0.5478645066273933,372,474,256,358,0.43500732200387776,0.4904109589041096,0.3506849315068493,652.143736
0.9,11,epanechnikov,silverman,100,0.5761092150170648,422,417,313,308,0.4256989283942961,0.42191780821917807,0.42876712328767125,754.783429
0.95,11,gaussian,variance,50,0.5837676842889055,392,509,221,338,0.42194211393152287,0.46301369863013697,0.30273972602739724,558.473534
0.95,11,gaussian,variance,80,0.5657311669128509,383,489,241,347,0.4643905975754115,0.47534246575342465,0.33013698630136984,591.788263
0.95,11,gaussian,variance,100,0.5801853171774768,407,464,266,323,0.45548808299933663,0.44246575342465755,0.3643835616438356,601.545377
0.95,11,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,703.304954
0.95,11,gaussian,scott,80,0.0,0,730,0,730,0.4,1.0,0.0,711.41558
0.95,11,gaussian,scott,100,0.5802197802197803,396,491,239,334,0.4613988608881695,0.4575342465753425,0.3273972602739726,584.717028
0.95,11,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,699.07312
0.95,11,gaussian,silverman,80,0.558641975308642,362,526,204,368,0.4259146670933116,0.5041095890410959,0.27945205479452057,567.352158
0.95,11,gaussian,silverman,100,0.6188881446751507,462,429,301,268,0.45040263634428324,0.36712328767123287,0.4123287671232877,577.041602
0.95,11,cosine,variance,50,0.5692199578355587,405,442,288,325,0.4534099278741264,0.4452054794520548,0.39452054794520547,609.577127
0.95,11,cosine,variance,80,0.5954738330975955,421,467,263,309,0.4207741111143169,0.4232876712328767,0.36027397260273974,633.479616
0.95,11,cosine,variance,100,0.5560407569141194,382,468,262,348,0.4367528412240448,0.4767123287671233,0.3589041095890411,641.287749
0.95,11,cosine,scott,50,0.5477057538237436,376,463,267,354,0.44624808334565286,0.4849315068493151,0.36575342465753424,739.932964
0.95,11,cosine,scott,80,0.5944055944055944,425,455,275,305,0.4270756905151407,0.4178082191780822,0.3767123287671233,623.164771
0.95,11,cosine,scott,100,0.5891696750902528,408,483,247,322,0.42379772499743185,0.4410958904109589,0.33835616438356164,621.584467
0.95,11,cosine,silverman,50,0.5363703159441587,365,464,266,365,0.4520329333247506,0.5,0.3643835616438356,662.141738
0.95,11,cosine,silverman,80,0.5450516986706057,369,475,255,361,0.4321533728021134,0.4945205479452055,0.3493150684931507,694.727464
0.95,11,cosine,silverman,100,0.5759450171821305,419,424,306,311,0.4284805205804465,0.426027397260274,0.4191780821917808,791.962731
0.95,11,epanechnikov,variance,50,0.5963240299523486,438,429,301,292,0.41104888821044705,0.4,0.4123287671232877,598.786343
0.95,11,epanechnikov,variance,80,0.5602888086642599,388,463,267,342,0.43676460805623246,0.4684931506849315,0.36575342465753424,597.090119
0.95,11,epanechnikov,variance,100,0.5539143279172821,375,481,249,355,0.441957651654322,0.4863013698630137,0.3410958904109589,635.918014
0.95,11,epanechnikov,scott,50,0.58069270449521,394,497,233,336,0.4662467271721507,0.4602739726027397,0.31917808219178084,566.222016
0.95,11,epanechnikov,scott,80,0.584237165582068,404,481,249,326,0.4165523767375386,0.4465753424657534,0.3410958904109589,606.623327
0.95,11,epanechnikov,scott,100,0.5901875901875901,409,483,247,321,0.4066271394593494,0.4397260273972603,0.33835616438356164,605.641321
0.95,11,epanechnikov,silverman,50,0.5015673981191222,320,504,226,410,0.43724814790587574,0.5616438356164384,0.3095890410958904,661.954752
0.95,11,epanechnikov,silverman,80,0.5478645066273933,372,474,256,358,0.43500732200387776,0.4904109589041096,0.3506849315068493,669.41004
0.95,11,epanechnikov,silverman,100,0.5759450171821305,419,424,306,311,0.4284805205804465,0.426027397260274,0.4191780821917808,664.454538
0.99,11,gaussian,variance,50,0.5771812080536913,387,506,224,343,0.42810448443424887,0.46986301369863015,0.30684931506849317,555.623972
0.99,11,gaussian,variance,80,0.5971631205673759,421,471,259,309,0.432667781007262,0.4232876712328767,0.3547945205479452,565.929664
0.99,11,gaussian,variance,100,0.5856432125088842,412,465,265,318,0.4624224602138164,0.43561643835616437,0.363013698630137,579.978575
0.99,11,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,680.086049
0.99,11,gaussian,scott,80,0.0,0,730,0,730,0.4,1.0,0.0,682.673439
0.99,11,gaussian,scott,100,0.0,0,730,0,730,0.4,1.0,0.0,684.317181
0.99,11,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,683.347043
0.99,11,gaussian,silverman,80,0.0,0,730,0,730,0.4,1.0,0.0,676.078138
0.99,11,gaussian,silverman,100,0.6201760324983073,458,441,289,272,0.4416851254383405,0.3726027397260274,0.3958904109589041,579.809857
0.99,11,cosine,variance,50,0.56,392,452,278,338,0.449966724279908,0.46301369863013697,0.38082191780821917,602.608745
0.99,11,cosine,variance,80,0.5954415954415955,418,474,256,312,0.419531543760122,0.4273972602739726,0.3506849315068493,612.963178
0.99,11,cosine,variance,100,0.5536888239590942,379,470,260,351,0.4372188707503234,0.4808219178082192,0.3561643835616438,620.652914
0.99,11,cosine,scott,50,0.6127484578478409,447,448,282,283,0.4768594932002218,0.38767123287671235,0.3863013698630137,575.402425
0.99,11,cosine,scott,80,0.5706558485463151,422,403,327,308,0.461185032285843,0.42191780821917807,0.44794520547945205,665.30645
0.99,11,cosine,scott,100,0.5723771580345286,431,385,345,299,0.4369520266025194,0.4095890410958904,0.4726027397260274,685.954147
0.99,11,cosine,silverman,50,0.5380710659898477,371,452,278,359,0.45634251539470594,0.4917808219178082,0.38082191780821917,669.530837
0.99,11,cosine,silverman,80,0.5738278516445067,410,441,289,320,0.44081046717402994,0.4383561643835616,0.3958904109589041,652.593474
0.99,11,cosine,silverman,100,0.5822613405551794,430,413,317,300,0.4230075169838044,0.410958904109589,0.43424657534246575,670.450783
0.99,11,epanechnikov,variance,50,0.5963240299523486,438,429,301,292,0.41104888821044705,0.4,0.4123287671232877,593.863402
0.99,11,epanechnikov,variance,80,0.5813630041724618,418,440,290,312,0.4536599955758372,0.4273972602739726,0.3972602739726027,602.087184
0.99,11,epanechnikov,variance,100,0.5584129316678913,380,479,251,350,0.4563089365145843,0.4794520547945205,0.34383561643835614,604.746173
0.99,11,epanechnikov,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,680.563395
0.99,11,epanechnikov,scott,80,0.5534324133050248,391,438,292,339,0.46677811480070797,0.4643835616438356,0.4,654.632215
0.99,11,epanechnikov,scott,100,0.5845755022683085,451,368,362,279,0.4426889036167271,0.3821917808219178,0.4958904109589041,665.736576
0.99,11,epanechnikov,silverman,50,0.5038639876352395,326,492,238,404,0.4413449296657034,0.5534246575342465,0.32602739726027397,640.969572
0.99,11,epanechnikov,silverman,80,0.5348314606741573,357,482,248,373,0.4612871425970979,0.510958904109589,0.33972602739726027,667.31203
0.99,11,epanechnikov,silverman,100,0.5822613405551794,430,413,317,300,0.4230075169838044,0.410958904109589,0.43424657534246575,659.261036
0.9,12,gaussian,variance,50,0.6213333333333333,466,426,304,264,0.4528309452522791,0.36164383561643837,0.41643835616438357,544.475662
0.9,12,gaussian,variance,80,0.5664913598797896,377,506,224,353,0.4400374085566382,0.48356164383561645,0.30684931506849317,563.177522
0.9,12,gaussian,variance,100,0.5773501110288675,390,499,231,340,0.4286666752884846,0.4657534246575342,0.31643835616438354,567.29047
0.9,12,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,677.892672
0.9,12,gaussian,scott,80,0.5775798069784707,389,502,228,341,0.4864556487649126,0.4671232876712329,0.31232876712328766,550.247712
0.9,12,gaussian,scott,100,0.5936599423631124,412,484,246,318,0.47878689181908585,0.43561643835616437,0.336986301369863,554.57045
0.9,12,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,668.135247
0.9,12,gaussian,silverman,80,0.5813953488372093,400,484,246,330,0.4958460323391265,0.4520547945205479,0.336986301369863,534.016042
0.9,12,gaussian,silverman,100,0.57847533632287,387,509,221,343,0.46274652125338556,0.46986301369863015,0.30273972602739724,555.446102
0.9,12,cosine,variance,50,0.5764192139737991,396,482,248,334,0.4388306357449818,0.4575342465753425,0.33972602739726027,593.950201
0.9,12,cosine,variance,80,0.5714285714285714,404,450,280,326,0.4718348117988135,0.4465753424657534,0.3835616438356164,613.349326
0.9,12,cosine,variance,100,0.5736766809728183,401,463,267,329,0.48257671392413193,0.4506849315068493,0.36575342465753424,610.121899
0.9,12,cosine,scott,50,0.5883997204751922,421,450,280,309,0.4428192436023735,0.4232876712328767,0.3835616438356164,588.765868
0.9,12,cosine,scott,80,0.6042608134280181,468,379,351,262,0.4458772890289759,0.3589041095890411,0.4808219178082192,638.213655
0.9,12,cosine,scott,100,0.6142227816236627,488,359,371,242,0.45750739944118907,0.3315068493150685,0.5082191780821917,632.203051
0.9,12,cosine,silverman,50,0.6172839506172839,500,340,390,230,0.45194863881994185,0.3150684931506849,0.5342465753424658,614.664809
0.9,12,cosine,silverman,80,0.5992317541613317,468,366,364,262,0.46195476661836987,0.3589041095890411,0.4986301369863014,629.017987
0.9,12,cosine,silverman,100,0.5845539280958721,439,397,333,291,0.461995293963257,0.39863013698630134,0.45616438356164385,642.11545
0.9,12,epanechnikov,variance,50,0.6103983794733289,452,431,299,278,0.4462585458394356,0.38082191780821917,0.4095890410958904,593.404292
0.9,12,epanechnikov,variance,80,0.6050198150594451,458,404,326,272,0.4941560848718745,0.3726027397260274,0.4465753424657534,591.170645
0.9,12,epanechnikov,variance,100,0.5672727272727273,390,475,255,340,0.47773700404860064,0.4657534246575342,0.3493150684931507,591.104541
0.9,12,epanechnikov,scott,50,0.5910364145658263,422,454,276,308,0.44292562815650294,0.42191780821917807,0.3780821917808219,575.761815
0.9,12,epanechnikov,scott,80,0.5998715478484264,467,370,360,263,0.4513512468111394,0.36027397260273974,0.4931506849315068,631.56316
0.9,12,epanechnikov,scott,100,0.6192259675405742,496,354,376,234,0.45885045022066345,0.32054794520547947,0.5150684931506849,615.563232
0.9,12,epanechnikov,silverman,50,0.6084183673469388,477,369,361,253,0.451977638829374,0.34657534246575344,0.4945205479452055,607.990537
0.9,12,epanechnikov,silverman,80,0.5916230366492147,452,384,346,278,0.45994047596538157,0.38082191780821917,0.473972602739726,626.60778
0.9,12,epanechnikov,silverman,100,0.5843293492695883,440,394,336,290,0.47152345478788205,0.3972602739726027,0.4602739726027397,621.926746
0.95,12,gaussian,variance,50,0.6213333333333333,466,426,304,264,0.4528309452522791,0.36164383561643837,0.41643835616438357,546.850599
0.95,12,gaussian,variance,80,0.5664913598797896,377,506,224,353,0.4400374085566382,0.48356164383561645,0.30684931506849317,552.026441
0.95,12,gaussian,variance,100,0.5716417910447761,383,503,227,347,0.4304066742491456,0.47534246575342465,0.31095890410958904,571.434075
0.95,12,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,664.23547
0.95,12,gaussian,scott,80,0.0,0,730,0,730,0.4,1.0,0.0,674.152627
0.95,12,gaussian,scott,100,0.5962373371924746,412,490,240,318,0.4881183822263852,0.43561643835616437,0.3287671232876712,555.737285
0.95,12,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,670.356602
0.95,12,gaussian,silverman,80,0.0,0,730,0,730,0.4,1.0,0.0,675.395086
0.95,12,gaussian,silverman,100,0.5654135338345865,376,506,224,354,0.5003721405343812,0.4849315068493151,0.30684931506849317,555.976143
0.95,12,cosine,variance,50,0.5764192139737991,396,482,248,334,0.4388306357449818,0.4575342465753425,0.33972602739726027,579.770467
0.95,12,cosine,variance,80,0.5714285714285714,404,450,280,326,0.4718348117988135,0.4465753424657534,0.3835616438356164,597.093951
0.95,12,cosine,variance,100,0.5736766809728183,401,463,267,329,0.48257671392413193,0.4506849315068493,0.36575342465753424,606.765541
0.95,12,cosine,scott,50,0.5914505956552207,422,455,275,308,0.44292562815650294,0.42191780821917807,0.3767123287671233,581.705132
0.95,12,cosine,scott,80,0.6042608134280181,468,379,351,262,0.4458772890289759,0.3589041095890411,0.4808219178082192,642.41244
0.95,12,cosine,scott,100,0.6142227816236627,488,359,371,242,0.4586535283522841,0.3315068493150685,0.5082191780821917,632.896397
0.95,12,cosine,silverman,50,0.6172839506172839,500,340,390,230,0.45194863881994185,0.3150684931506849,0.5342465753424658,623.958985
0.95,12,cosine,silverman,80,0.5991019884541373,467,368,362,263,0.461924915447088,0.36027397260273974,0.4958904109589041,682.50811
0.95,12,cosine,silverman,100,0.5870712401055409,445,389,341,285,0.4619284124516287,0.3904109589041096,0.4671232876712329,655.076377
0.95,12,epanechnikov,variance,50,0.6165211551376762,459,430,300,271,0.44706456843520914,0.37123287671232874,0.410958904109589,578.546021
0.95,12,epanechnikov,variance,80,0.6050198150594451,458,404,326,272,0.4941560848718745,0.3726027397260274,0.4465753424657534,580.88832
0.95,12,epanechnikov,variance,100,0.5794907088781831,421,428,302,309,0.4580038015667581,0.4232876712328767,0.4136986301369863,593.703539
0.95,12,epanechnikov,scott,50,0.5948575399583044,428,449,281,302,0.4421025325629864,0.4136986301369863,0.38493150684931504,587.87142
0.95,12,epanechnikov,scott,80,0.5998715478484264,467,370,360,263,0.4513512468111394,0.36027397260273974,0.4931506849315068,628.585325
0.95,12,epanechnikov,scott,100,0.6192259675405742,496,354,376,234,0.45885045022066345,0.32054794520547947,0.5150684931506849,636.053941
0.95,12,epanechnikov,silverman,50,0.6084183673469388,477,369,361,253,0.451977638829374,0.34657534246575344,0.4945205479452055,600.850261
0.95,12,epanechnikov,silverman,80,0.5914754098360656,451,386,344,279,0.45991062479409967,0.3821917808219178,0.4712328767123288,628.483003
0.95,12,epanechnikov,silverman,100,0.5843293492695883,440,394,336,290,0.47152345478788205,0.3972602739726027,0.4602739726027397,626.626979
